text
"y adelanta a Real Sociedad y Villarreal, con un partido menos"
y continúa en la novena plaza
en un encuentro que dominó de principio a fin
y pudo llegar a sumar el tercero en una acción que acabó en el larguero  El Espanyol apenas generó peligro en la meta de Kepa
¡Final! Athletic 2 - Espanyol 0
para atrapar un balón interior de Susaeta para Williams
Tocó por detrás a Susaeta y no dudó el colegiado en mostrarle la cartulina
Otra clara ocasión para el Athletic de aumentar la renta
pero desepejaron Williams y Mikel Rico el peligro
Estaba adelantado cuando recibió el balón en la frontal del área
No llegó Williams por poco en área grande
"por banda derecha, pero otra vez bajó Susaeta a ayudar"
Otra vez peneró en el área como un relámpago y su disparo cruzado no batió a Diego López por poco
", pero no encont´ro a Williams"
tras un mal control  Desafortunado el Espanyol en ataque
Se juega el partido a su ritmo
Le queda poco tiempo para reaccionar
Estrelló el balón en el larguero el ariete tras caerle muerto un esférico despejado atrás por David López
Providencial el ariete para mandar a córner un centro de De Marcos que remata el ariete al primer palo
Cómo llegaba el 11 el Athletic por detrás
Sentó a dos rivales pisando el balón para después jugar con Jurado
Falta de pura impotencia
", pero le dura muy poco la pelota  Continúa el Athletic con la posesión"
Se envenenó el centro y a punto estuvo de sorprender al meta
Sacó el centro Hernán Pérez tras apurar la línea de fondo por el carril derecho y el argentino cabeceó por encima del travesaño
tras no señalarle una falta de Víctor Sánchez  Balón para el Espanyol
ante un Athletic que circula con fluidez la pelota
la falta de Beñat colgada al área
Lo arrolló por detrás al proteger el bilbaíno el esférico
"Peinó el medipaunta una falta frontal de Beñat, pero el esférico no encontró portería"
Vuelve a dominar con soltura el Athletic
Trabajó en defensa el extremo bilbaíno
"No dudó el delantero al ver adelantado a Diego López, aunque no encontró portería"
Se queja el medio bilbáino de la decisión del árbitro
No es buena la entrega en largo de Iturraspe para Muniain
para que se pierda por línea de fondo
Choque de trenes en la medular
"Lo intentó de nuevo el medio desde la frontal, pero no encontró portería"
Sacará el Espanyol de portería
"Penetró De Marcos por el carril derecho, sacó el centro atrás y"
Vuelve a llegar el Athletic con peligro
Recupera el Espanyol en defensa
la prolongación de Raúl García para Muniain en una bonita pared
y domina al menos más que en la primera mitad
No llegó Raúl García y el cuero se pierde por línea lateral
al contragolpe y acabó entregándoselo a Beñat
¡Comienza el segundo tiempo! Athletic 2 - Espanyol 0
ante un Espanyol que se aculó demasiado
al anotar los dos tantos bilbaínos que dan una renta suculenta a los de Valverde de cara al segundo tiempo
¡Descanso! Athletic 2 - Espanyol 0
un centro pasado de Beñat que buscaba a Muniain
para cortar la internada de Saborit por el carril izquierdo
", pero no logró conectar Raúl García con Muniain"
Juego detenido en San Mamés
Voló el meta para salvar
Se ha hecho daño con el palo el meta
De las pocas veces que ha aparecido el canterano del Espanyol
Juego parado en San Mamés
"Lo intentó el Espanyol al contragolpe, pero"
con pierna derecha del argentino
"Le pone pausa al encuentro el Athletic y lo hace como mejor sabe, con el balón"
y solo la manopla del meta evitó que el cuero se colara por la escuadra
y cortó al cruce Diego Reyes  Muy seguro el central
"Penetró solo por el carril derecho tras habilitarle Susaeta, pero se equivocó en el centro al segundo palo"
Comienza a tener posesiones largas
cuando se giraba en el mediocampo para montar el contragolpe
"Intentaba el Espanyol dominar el esférico en la medular, pero"
Contundente el central francés
A punto ha estado el ariete de lograr el empate en el libre directo
Derribó el central a Melendo en la frontal cuando este había controlado un balón suelto  Ocasión para el Espanyol b
"Lo intentaba el argentino por el carril derecho, pero no pudo domar el balón largo de Diop"
Sufre la zaga perica
en banda izquierda para la llegada de Saborit
Se envenenó el centro del extremo
No le dura la posesión al conjunto de Quique Sánchez Flores
Domina el Athletic con claridad anten un Espanyol aculado
"Otra vez lo intentó el ariete, pero de nuevo no logró rematar de cabeza a portería"
", pero se ahoga en la circulación de balón bilbaína"
Lo intentó de nuevo el Athletic a la salida de la falta lateral
"en área grande, le tiró el recorte y el lateral se lo llevó por delante"
", pero no acaba de generar peligro"
para explotar la velocidad de sus puntas
Muy seguro el central para mandar fuera un balón que buscaba Álvaro Vázquez
No logró conectar el pase con Raúl García y recuperó la defensa perica
